vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5144.0,4144.0
vehicle_10002,2000.0,6290.0,4290.0
vehicle_10003,2000.0,4887.0,2887.0
vehicle_10004,2000.0,7098.0,5098.0
vehicle_10005,2000.0,6187.0,4187.0
vehicle_10006,2000.0,6993.0,4993.0
vehicle_10007,2000.0,6235.0,4235.0
vehicle_10008,2000.0,5404.0,3404.0
vehicle_10009,2000.0,8742.0,6742.0
vehicle_100010,2000.0,9413.0,7413.0
vehicle_100011,2000.0,6365.0,4365.0
vehicle_100012,2000.0,7877.0,5877.0
vehicle_100013,2000.0,6319.0,4319.0
vehicle_100014,2000.0,6191.0,4191.0
vehicle_100015,2000.0,8991.0,6991.0
vehicle_100016,2000.0,5977.0,3977.0
vehicle_100017,2000.0,6047.0,4047.0
vehicle_100018,2000.0,9249.0,7249.0
vehicle_100019,2000.0,6708.0,4708.0
vehicle_100020,2000.0,9608.0,7608.0
